offer_price,rating,mrp,isBestSeller,accessories,clothing,electronics,misc,musical_instrument
119.0,4.6,160.6,1,0,0,1,0,0
115.99,4.4,156.5,0,0,0,0,1,0
99.99,4.2,129.9,0,0,0,1,0,0
29.99,4.8,35.9,0,0,0,1,0,0
32.99,4.4,39.5,0,0,0,1,0,0
184.61,5.0,249.2,1,0,0,1,0,0
25.99,4.4,31.1,0,0,0,1,0,0
72.99,4.5,94.8,1,0,0,1,0,0
24.99,4.7,34.9,0,0,0,1,0,0
29.0,4.4,34.8,0,0,0,1,0,0
169.0,4.3,228.1,0,0,0,1,0,0
187.75,5.0,253.4,1,0,0,1,0,0
89.99,4.1,116.9,0,0,0,1,0,0
20.99,4.5,29.3,0,0,0,1,0,0
62.0,5.0,80.6,1,0,0,1,0,0
69.98,4.2,90.9,0,0,0,1,0,0
145.99,4.1,197.0,0,0,0,1,0,0
27.99,4.6,33.5,0,0,0,1,0,0
29.99,4.4,35.9,0,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
19.99,4.3,27.9,0,0,0,1,0,0
22.99,3.9,32.1,0,0,0,1,0,0
11.86,4.2,16.6,0,0,0,1,0,0
21.99,3.8,30.7,0,0,0,1,0,0
133.26,1.0,179.9,0,0,0,1,0,0
149.99,4.5,202.4,1,0,0,1,0,0
31.99,4.6,38.3,0,0,0,1,0,0
39.99,3.6,47.9,0,0,0,1,0,0
69.99,4.4,90.9,0,0,0,1,0,0
30.99,4.9,37.1,0,0,0,1,0,0
17.99,4.5,25.1,0,0,0,1,0,0
109.99,3.9,148.4,0,0,0,1,0,0
28.69,4.3,34.4,0,0,0,1,0,0
20.99,3.0,29.3,0,0,0,1,0,0
24.64,4.3,34.4,0,0,0,1,0,0
25.99,4.3,31.1,0,0,0,1,0,0
29.0,5.0,34.8,0,0,0,1,0,0
199.98,4.3,269.9,0,0,0,1,0,0
29.0,4.7,34.8,0,0,0,1,0,0
25.49,4.3,30.5,0,0,0,1,0,0
177.94,4.4,240.2,0,0,0,0,1,0
46.99,3.6,56.3,0,0,0,1,0,0
29.0,4.4,34.8,0,0,0,0,1,0
79.99,4.7,103.9,1,0,0,1,0,0
69.99,4.6,90.9,1,0,0,1,0,0
69.99,4.4,90.9,0,0,0,1,0,0
299.99,4.6,404.9,1,0,0,1,0,0
28.69,4.3,34.4,0,0,0,1,0,0
35.96,4.3,43.1,0,0,0,1,0,0
12.99,5.0,18.1,0,0,0,1,0,0
49.99,5.0,59.9,0,0,0,1,0,0
174.0,4.5,234.9,1,0,0,1,0,0
149.99,4.3,202.4,0,0,0,1,0,0
129.99,4.6,175.4,1,0,0,0,1,0
52.98,3.9,63.5,0,0,0,1,0,0
17.95,4.1,25.1,0,0,0,1,0,0
16.0,4.3,22.4,0,0,0,1,0,0
102.49,4.8,138.3,1,0,0,1,0,0
16.99,4.3,23.7,0,0,0,1,0,0
89.0,4.3,115.7,0,0,0,1,0,0
29.0,4.5,34.8,0,0,0,1,0,0
19.99,4.4,27.9,0,0,0,1,0,0
11.99,3.4,16.7,0,0,0,1,0,0
24.99,4.1,34.9,0,0,0,1,0,0
129.99,5.0,175.4,1,0,0,1,0,0
69.99,4.5,90.9,1,0,0,1,0,0
38.99,3.9,46.7,0,0,0,1,0,0
16.69,4.5,23.3,0,0,0,0,1,0
31.99,4.4,38.3,0,0,0,1,0,0
23.79,4.1,33.3,0,0,0,1,0,0
49.98,4.3,59.9,0,0,0,1,0,0
29.74,4.1,35.6,0,0,0,1,0,0
649.0,4.8,876.1,1,0,0,1,0,0
50.0,4.3,60.0,0,0,0,1,0,0
16.99,4.6,23.7,0,0,0,1,0,0
39.97,4.2,47.9,0,0,0,1,0,0
29.0,4.2,34.8,0,0,0,1,0,0
7.99,4.3,9.9,0,0,0,1,0,0
34.99,4.8,41.9,0,0,0,1,0,0
190.45,2.9,257.1,0,0,0,1,0,0
17.99,4.0,25.1,0,0,0,1,0,0
54.99,4.0,65.9,0,0,0,1,0,0
54.99,4.0,65.9,0,0,0,1,0,0
28.04,4.6,33.6,0,0,0,1,0,0
45.0,3.6,54.0,0,0,0,1,0,0
14.99,4.4,20.9,0,0,0,1,0,0
49.96,4.4,59.9,0,0,0,1,0,0
79.99,4.6,103.9,1,0,0,1,0,0
31.9,4.7,38.2,0,0,0,1,0,0
29.99,4.6,35.9,0,0,0,1,0,0
32.55,4.3,39.0,0,0,0,1,0,0
49.5,4.3,59.4,0,0,0,1,0,0
29.0,4.4,34.8,0,0,0,1,0,0
29.0,1.9,34.8,0,0,0,1,0,0
12.99,4.1,18.1,0,0,0,1,0,0
29.0,4.6,34.8,0,0,0,1,0,0
19.99,4.8,27.9,0,0,0,1,0,0
31.44,4.5,37.7,0,0,0,1,0,0
37.79,4.6,45.3,0,0,0,1,0,0
16.69,4.5,23.3,0,0,0,1,0,0
27.99,4.6,33.5,0,0,0,1,0,0
25.49,4.4,30.5,0,0,0,1,0,0
49.99,3.8,59.9,0,0,0,1,0,0
24.99,4.0,34.9,0,0,0,1,0,0
79.99,3.4,103.9,0,0,0,1,0,0
29.0,4.1,34.8,0,0,0,1,0,0
219.11,4.3,295.7,0,0,0,1,0,0
29.0,4.7,34.8,0,0,0,1,0,0
29.9,4.5,35.8,0,0,0,1,0,0
82.82,4.3,107.6,0,0,0,1,0,0
26.89,4.2,32.2,0,0,0,1,0,0
29.99,4.6,35.9,0,0,0,1,0,0
85.0,4.4,110.5,0,0,0,1,0,0
690.49,4.3,932.1,0,0,0,1,0,0
15.99,4.4,22.3,0,0,0,1,0,0
12.91,4.3,18.0,0,0,0,1,0,0
24.99,4.2,34.9,0,0,0,1,0,0
78.23,4.6,101.6,1,0,0,1,0,0
119.99,4.5,161.9,1,0,0,1,0,0
26.99,4.5,32.3,0,0,0,1,0,0
112.99,4.6,152.5,1,0,0,1,0,0
13.99,4.8,19.5,0,0,0,1,0,0
29.0,4.1,34.8,0,0,0,1,0,0
238.97,4.8,322.6,1,0,0,0,1,0
26.99,4.4,32.3,0,0,0,1,0,0
99.95,4.8,129.9,1,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
29.0,4.5,34.8,0,0,0,1,0,0
11.59,1.0,16.2,0,0,0,1,0,0
28.04,4.7,33.6,0,0,0,1,0,0
68.99,4.5,89.6,1,0,0,1,0,0
32.99,4.6,39.5,0,0,0,1,0,0
119.0,4.3,160.6,0,0,0,1,0,0
49.99,5.0,59.9,0,0,0,1,0,0
35.96,4.3,43.1,0,0,0,1,0,0
15.99,4.3,22.3,0,0,0,1,0,0
89.99,4.6,116.9,1,0,0,1,0,0
28.99,4.7,34.7,0,0,0,1,0,0
49.99,3.9,59.9,0,0,0,1,0,0
599.0,4.6,808.6,1,0,0,0,1,0
359.0,4.3,484.6,0,0,0,0,1,0
125.99,4.3,170.0,0,0,0,1,0,0
25.99,4.3,31.1,0,0,0,1,0,0
99.0,4.2,128.7,0,0,0,1,0,0
34.88,4.3,41.8,0,0,0,1,0,0
129.99,4.4,175.4,0,0,0,1,0,0
24.99,4.6,34.9,0,0,0,1,0,0
69.98,4.2,90.9,0,0,0,1,0,0
145.99,4.1,197.0,0,0,0,1,0,0
17.99,4.5,25.1,0,0,0,1,0,0
20.99,4.0,29.3,0,0,0,1,0,0
49.0,4.7,58.8,0,0,0,1,0,0
69.0,5.0,89.7,1,0,0,1,0,0
58.6,4.0,70.3,0,0,0,1,0,0
29.0,4.3,34.8,0,0,0,0,1,0
29.97,5.0,35.9,0,0,0,1,0,0
29.0,4.6,34.8,0,0,0,1,0,0
75.99,4.2,98.7,0,0,0,1,0,0
11.99,3.3,16.7,0,0,0,1,0,0
29.0,4.4,34.8,0,0,0,1,0,0
22.99,4.0,32.1,0,0,0,1,0,0
17.89,4.3,25.0,0,0,0,1,0,0
28.69,4.3,34.4,0,0,0,1,0,0
115.99,4.4,156.5,0,0,0,0,1,0
99.99,4.2,129.9,0,0,0,1,0,0
20.99,3.0,29.3,0,0,0,1,0,0
24.64,4.3,34.4,0,0,0,1,0,0
25.99,4.3,31.1,0,0,0,1,0,0
24.99,4.4,34.9,0,0,0,1,0,0
49.99,4.0,59.9,0,0,0,1,0,0
28.99,4.4,34.7,0,0,0,1,0,0
29.0,3.8,34.8,0,0,0,1,0,0
162.88,4.0,219.8,0,0,0,1,0,0
21.59,4.3,30.2,0,0,0,1,0,0
29.0,4.6,34.8,0,0,0,1,0,0
99.95,4.2,129.9,0,0,0,1,0,0
24.99,4.6,34.9,0,0,0,1,0,0
89.0,4.4,115.7,0,0,0,1,0,0
24.99,4.3,34.9,0,0,0,1,0,0
32.99,4.4,39.5,0,0,0,1,0,0
12.99,5.0,18.1,0,0,0,1,0,0
24.99,4.1,34.9,0,0,0,1,0,0
27.99,4.6,33.5,0,0,0,1,0,0
394.99,4.0,533.2,0,0,0,1,0,0
29.0,4.5,34.8,0,0,0,1,0,0
84.79,4.3,110.2,0,0,0,1,0,0
39.98,4.6,47.9,0,0,0,1,0,0
26.95,4.3,32.3,0,0,0,1,0,0
29.0,4.6,34.8,0,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
29.0,4.7,34.8,0,0,0,1,0,0
29.0,3.9,34.8,0,0,0,1,0,0
19.99,4.6,27.9,0,0,0,1,0,0
99.9,4.1,129.8,0,0,0,1,0,0
35.99,4.4,43.1,0,0,0,1,0,0
109.99,3.9,148.4,0,0,0,1,0,0
31.69,4.4,38.0,0,0,0,1,0,0
129.99,5.0,175.4,1,0,0,1,0,0
129.0,4.0,174.1,0,0,0,1,0,0
86.69,4.4,112.6,0,0,0,1,0,0
55.99,4.3,67.1,0,0,0,1,0,0
14.99,4.3,20.9,0,0,0,1,0,0
19.99,4.6,27.9,0,0,0,1,0,0
19.99,4.8,27.9,0,0,0,1,0,0
85.0,4.7,110.5,1,0,0,1,0,0
13.53,4.6,18.9,0,0,0,1,0,0
89.98,4.6,116.9,1,0,0,1,0,0
29.99,4.0,35.9,0,0,0,1,0,0
74.49,4.6,96.8,1,0,0,1,0,0
16.0,4.0,22.4,0,0,0,1,0,0
